,BTE1_tunk,BTE2_tunk,BTE3_tunk,BTE4_tunk,BTE5_tunk,BTE6_tunk,BTE7_tunk,BTH1_tunk,BTH2_tunk,BTH3_tunk,BTH4_tunk,BTH5_tunk,BTH6_tunk,BTH7_tunk,BTT1_tunk,BTT2_tunk,BTT3_tunk,BTT4_tunk,BTT5_tunk,BTT6_tunk,BTT7_tunk
SBS1,36.803622536262665,11.064263677102293,120.96353223384152,236.4045497749399,18.343890921180165,40.19167083755126,24.549019411597534,51.949420098143584,55.785699720497604,34.760297633040196,113.81904443003829,179.96923865952667,77.805781712098,44.97075832356968,62.644739036455526,2.3184665039571843,37.39677614495093,105.3225333697568,48.20755329807831,42.18570859772465,65.96125018896748
SBS2,94.5155335378534,2.3602650446823596,30.813036916810944,438.33016632707034,8.740055102097323,6.564077758133295,0.0,39.98362384721765,22.29881873020362,13.789394318442488,764.9893104194298,141.9502884755769,302.49784038058823,12.55327807050264,315.76366422507823,0.0,58.34107725289396,49.65889677607409,16.794875804182578,9.618538563641344,103.67083385658862
SBS3,55.31538844411364,0.0,214.4359611798217,281.6665410181903,0.0,0.0,109.30477301393987,159.07266047265637,391.9262141627544,59.99148935062696,524.3475479412893,112.07530204784098,0.0,163.0052886584434,414.42773097573297,0.0,348.71325227882943,643.3099463802739,229.33512908809672,189.44850471154908,977.1579720906734
SBS5,64.83778159567183,89.54025039415505,418.4188062130905,577.1728298996107,39.34035890698552,222.8949602881632,0.0,182.39320521116065,383.3686838156102,86.17989501013093,197.21877107502962,464.1947503187506,101.3720201179562,181.08702242354067,83.56497836904629,28.097467785227796,109.23436484649983,290.4046671746358,0.0,102.24911706778029,449.787091526446
SBS8,53.873341397660674,10.009923885190734,71.65396856315934,121.36079942252238,0.0,12.97061095231367,0.0,60.50954246087312,143.24477103662093,0.0,0.0,185.6277133881956,59.26140129140429,0.0,0.0,25.171425278608645,0.0,189.00398700645826,41.82561336812691,0.0,79.69694978738096
SBS13,61.11698945876192,0.0,17.91897969759054,800.7118005259607,17.326998558253017,11.682203785282589,0.0,48.25644469878828,66.49361519486781,20.26740437812892,794.5839739772971,232.75849842407138,552.2291234064216,10.393979166498347,466.61916922744814,0.0,49.36551227541496,126.28153431931166,34.64093711865702,29.769478691691422,283.97469556343725
SBS17b,0.0,0.0,14.916169764375102,0.0,0.0,0.0,10.934845388320882,42.00959662533309,20.707179394886364,3.301053118624182,0.0,0.0,0.0,0.0,0.0,3.7705193673013455,0.0,0.0,0.0,0.0,0.0
SBS18,0.0,11.96616706818126,57.501200923098146,169.1259711967738,7.58219990387094,0.0,14.502339140785603,0.0,63.385483554784706,15.57957931224964,129.49601158059315,0.0,0.0,48.8259737009934,48.30677578187337,0.0,34.084814113716504,113.06933348670009,0.0,9.979713073076343,0.0
SBS30,42.08553119414664,0.0,91.04301743722675,85.39660751572919,0.0,17.26320506532776,39.41111375450366,18.34825280085013,48.43356093671542,21.35618953514491,126.43515927310303,113.48350053667437,26.434579410166265,34.01044822573512,106.41758053494749,11.288890292995804,0.0,81.53240740123277,27.802608085939745,17.777795194483062,0.0
denovo_(SBS169),24.54498157574937,0.0,0.0,58.526586942625954,141.6461984091038,0.0,14.150305103752409,64.22725310887942,40.75139708051183,0.0,0.0,60.078336363247715,0.0,0.0,0.0,0.0,0.0,0.0,13.202126094144383,16.597887337303572,0.0
denovo_(SBS127),0.0,0.0,58.75245664355306,0.0,21.42791708952771,11.750523000650304,46.11418628112992,66.56255097507965,0.0,0.0,721.6456890197172,0.0,29.90578270669863,0.0,0.0,8.21219124906119,0.0,0.0,54.21815215915032,13.351438793813003,0.0
